COLUMN,name_type,val_range,min,max
CARERAGE_2,integer,16.0-1982.0,16.0,1982.0
CARERSEX_2,select_one CARERSEX_2,0.0-1.0,0.0,1.0
CARERREL_2,select_one CARERREL_2,1.0-8.0,1.0,8.0
Q366a_2,text,"24, شهر24, 3اشهر, 120, منذ سنة تقريبا, 11, 0, 1, من سنتين, نعم  منذ 12 سنه   تعرض للجلطه, من عشره أعوام ولم أستفيد ابدا, 40, نعم,  منذ سنة تقريبا, 10, 4", , 
ABUSE_2,select_one ABUSE_2,0.0-0.0,0.0,0.0
CJOBCAT_2,select_one CJOBCAT_2,1.0-11.0,1.0,11.0
HELPHOUR_2,integer,0.0-97.0,0.0,97.0
IRDISCR_2,select_one yes_no,0.0-9.0,0.0,9.0
Chin_2,select_one true_false,0.0-1.0,0.0,1.0
HELPCUT1_2,select_one yes_no_dk,0.0-0.0,0.0,0.0
HELPCUT2_2,select_one yes_no_dk,0.0-1.0,0.0,1.0
HELPCUT3_2,select_one HELPCUT3_2,1.0-98.0,1.0,98.0
CKIN_2_SPE_2,text,"from work, رسم من المعاينات, taxi driver, مساعده ماديه من الابناء, من الزراعه, shop, employee, مدخول من الدكان, hand crafts, his daughter, عمل من خلال السفر من فتره طويله, work", , 
CINCOM1_2,select_one CINCOM1_2,1.0-99.0,1.0,99.0
CKINCOM_2,select_multiple CKINCOM_2,"4 5 8, 6, 8, 5, 9, 2, 0, 1, 4 6, 7, 4, 4 8, 4 5", , 
CKINCOM_2/1,not found,1.0-1.0,1.0,1.0
CKINCOM_2/2,not found,1.0-3.0,1.0,3.0
CKINCOM_2/3,not found,1.0-3.0,1.0,3.0
CKINCOM_2/4,not found,1.0-1.0,1.0,1.0
CKINCOM_2/5,not found,1.0-1.0,1.0,1.0
CKINCOM_2/6,not found,1.0-1.0,1.0,1.0
CKINCOM_2/7,not found,1.0-1.0,1.0,1.0
CKINCOM_2/8,not found,1.0-1.0,1.0,1.0
agepart,integer,0.0-1952.0,0.0,1952.0
ageinfo,integer,65.0-1962.0,65.0,1962.0
agedoc,integer,65.0-1953.0,65.0,1953.0
agedisc,select_one choose,0.0-1.0,0.0,1.0
ageexpl,select_one choose,0.0-1.0,0.0,1.0
age1,integer,1.0-92.0,1.0,92.0
agediscy,select_one disc_y,0.0-1.0,0.0,1.0
age2,integer,65.0-89.0,65.0,89.0
accstat,select_one stat,1.0-2.0,1.0,2.0
rentwk,integer,0.0-750000.0,0.0,750000.0
rooms,integer,0.0-6.0,0.0,6.0
adults,integer,0.0-20.0,0.0,20.0
child,integer,0.0-97.0,0.0,97.0
res_total,calculate,0.0-103.0,0.0,103.0
corage1,integer,0.0-1941.0,0.0,1941.0
corsex1,select_one gender,1.0-2.0,1.0,2.0
correl1,select_one relation,1.0-6.0,1.0,6.0
coredu1,select_one education,1.0-6.0,1.0,6.0
corage2,integer,0.0-70741.0,0.0,70741.0
corsex2,select_one gender,1.0-2.0,1.0,2.0
correl2,select_one relation,1.0-9.0,1.0,9.0
coredu2,select_one education,1.0-6.0,1.0,6.0
corage3,integer,0.0-97.0,0.0,97.0
corsex3,select_one gender,1.0-2.0,1.0,2.0
correl3,select_one relation,1.0-11.0,1.0,11.0
coredu3,select_one education,1.0-6.0,1.0,6.0
corage4,integer,3.0-97.0,3.0,97.0
corsex4,select_one gender,1.0-2.0,1.0,2.0
correl4,select_one relation,1.0-11.0,1.0,11.0
coredu4,select_one education,1.0-6.0,1.0,6.0
corage5,integer,0.0-97.0,0.0,97.0
corsex5,select_one gender,1.0-2.0,1.0,2.0
correl5,select_one relation,1.0-11.0,1.0,11.0
coredu5,select_one education,1.0-6.0,1.0,6.0
corage6,integer,0.0-97.0,0.0,97.0
corsex6,select_one gender,1.0-2.0,1.0,2.0
correl6,select_one relation,1.0-11.0,1.0,11.0
coredu6,select_one education,1.0-4.0,1.0,4.0
corage7,integer,0.0-97.0,0.0,97.0
corsex7,select_one gender,1.0-2.0,1.0,2.0
correl7,select_one relation,1.0-11.0,1.0,11.0
coredu7,select_one education,1.0-6.0,1.0,6.0
corage8,integer,0.0-97.0,0.0,97.0
corsex8,select_one gender,1.0-2.0,1.0,2.0
correl8,select_one relation,1.0-11.0,1.0,11.0
coredu8,select_one education,1.0-3.0,1.0,3.0
corage9,integer,0.0-97.0,0.0,97.0
corsex9,select_one gender,1.0-2.0,1.0,2.0
correl9,select_one relation,1.0-11.0,1.0,11.0
coredu9,select_one education,1.0-3.0,1.0,3.0
corage10,integer,73.0-76.0,73.0,76.0
corsex10,select_one gender,1.0-2.0,1.0,2.0
correl10,select_one relation,1.0-2.0,1.0,2.0
coredu10,select_one education,1.0-3.0,1.0,3.0
cars,integer,0.0-97.0,0.0,97.0
LEARN1_2,integer,0.0-777.0,0.0,777.0
LEARN2_2,integer,0.0-688.0,0.0,688.0
LEARN3_2,integer,0.0-10.0,0.0,10.0
NAME_2,select_one NAME_2,0.0-1.0,0.0,1.0
PENCIL_2,select_one true_false,0.0-1.0,0.0,1.0
WATCH_2,select_one true_false,0.0-1.0,0.0,1.0
CHAIR_2,select_one true_false,0.0-1.0,0.0,1.0
SHOES_2,select_one true_false,0.0-1.0,0.0,1.0
ELBOW_2,select_one true_false,0.0-1.0,0.0,1.0
SHOULD_2,select_one true_false,0.0-1.0,0.0,1.0
HAMMER_2,select_one true_false,0.0-1.0,0.0,1.0
PRAY_2,select_one true_false,0.0-1.0,0.0,1.0
CHEMIST_2,select_one true_false,0.0-1.0,0.0,1.0
REPEAT_2,select_one true_false,0.0-1.0,0.0,1.0
RECALL_2,integer,0.0-83.0,0.0,83.0
NRECALL_2,select_one true_false,0.0-1.0,0.0,1.0
ANIMALS_2,select_one true_false,0.0-40.0,0.0,40.0
WORDIMM_2,select_one WORD_2,0.0-3.0,0.0,3.0
TRIALNO_2,integer,0.0-97.0,0.0,97.0
TOWN_2,select_one true_false,0.0-1.0,0.0,1.0
CHIEF_2,select_one true_false,0.0-1.0,0.0,1.0
STREET_2,select_one true_false,0.0-1.0,0.0,1.0
STORE_2,select_one true_false,0.0-1.0,0.0,1.0
ADDRESS_2,select_one true_false,0.0-1.0,0.0,1.0
WORDDEL_2,select_one WORD_2,0.0-3.0,0.0,3.0
LONGMEM_2,select_one true_false,0.0-1.0,0.0,1.0
MONTH_2,select_one true_false,0.0-1.0,0.0,1.0
DAY_2,select_one true_false,0.0-1.0,0.0,1.0
YEAR_2,select_one true_false,0.0-1.0,0.0,1.0
SEASON_2,select_one true_false,0.0-1.0,0.0,1.0
NOD_2,select_one true_false,0.0-1.0,0.0,1.0
POINT_2,select_one true_false,0.0-1.0,0.0,1.0
PAPER_2,integer,0.0-3.0,0.0,3.0
CIRCLE_2,select_one true_false,0.0-1.0,0.0,1.0
PENTAG_2,select_one true_false,0.0-1.0,0.0,1.0
STORY_2,integer,0.0-6.0,0.0,6.0
Q11_2,select_one GMS1,0.0-9.0,0.0,9.0
Q21_2,select_one GMS1,0.0-9.0,0.0,9.0
Q31_2,select_one GMS1,0.0-9.0,0.0,9.0
Q32_2,select_one GMS1,0.0-9.0,0.0,9.0
Q41_2,select_one GMS1,0.0-9.0,0.0,9.0
Q42_2,select_one GMS1,0.0-9.0,0.0,9.0
Q51_2,select_one GMS1,0.0-9.0,0.0,9.0
Q52_2,select_one GMS1,0.0-9.0,0.0,9.0
Q53_2,select_one GMS1,0.0-9.0,0.0,9.0
Q54_2,select_one GMS1,0.0-9.0,0.0,9.0
Q71_2,select_one GMS8,0.0-9.0,0.0,9.0
Q72_2,select_one GMS9,0.0-9.0,0.0,9.0
Q73_2,select_one GMS1,0.0-9.0,0.0,9.0
Q74_2,select_one GMS1,0.0-9.0,0.0,9.0
Q75_2,select_one GMS10,0.0-9.0,0.0,9.0
Q76_2,select_one GMS1,0.0-9.0,0.0,9.0
IRHOME_2,select_one GMS1,0.0-9.0,0.0,9.0
Q81_2,select_one GMS1,0.0-9.0,0.0,9.0
Q82_2,select_one GMS1,0.0-9.0,0.0,9.0
Q83_2,select_one GMS1,0.0-9.0,0.0,9.0
Q91_2,select_one GMS1,0.0-1.0,0.0,1.0
Q92_2,select_one GMS1,0.0-8.0,0.0,8.0
Q93_2,select_one GMS1,0.0-9.0,0.0,9.0
Q101_2,select_one GMS1,0.0-9.0,0.0,9.0
Q102_2,select_one GMS1,0.0-9.0,0.0,9.0
Q111_2,select_one GMS1,0.0-9.0,0.0,9.0
Q161_2,select_one GMS1,0.0-9.0,0.0,9.0
Q162_2,select_one GMS1,0.0-9.0,0.0,9.0
Q163_2,select_one GMS1,0.0-9.0,0.0,9.0
Q164_2,select_one GMS1,0.0-9.0,0.0,9.0
Q141_2,select_one GMS1,0.0-8.0,0.0,8.0
Q142_2,select_one GMS1,0.0-8.0,0.0,8.0
Q151_2,select_one GMS1,0.0-8.0,0.0,8.0
Q171_2,select_one GMS1,0.0-1.0,0.0,1.0
Q181_2,select_one GMS1,0.0-9.0,0.0,9.0
Q191_2,select_one GMS2,0.0-8.0,0.0,8.0
Q201_2,select_one GMS2,0.0-9.0,0.0,9.0
Q211_2,select_one GMS2,0.0-8.0,0.0,8.0
Q221_2,select_one GMS11,0.0-9.0,0.0,9.0
Q231_2,select_one GMS2,0.0-8.0,0.0,8.0
Q241_2,select_one GMS1,0.0-9.0,0.0,9.0
Q242_2,select_one GMS1,0.0-9.0,0.0,9.0
Q243_2,select_one GMS1,0.0-9.0,0.0,9.0
Q251_2,select_one GMS2,0.0-9.0,0.0,9.0
Q261_2,select_one GMS1,0.0-9.0,0.0,9.0
Q262_2,select_one GMS1,0.0-9.0,0.0,9.0
