COLUMN,data_type,description,cat_options,val_range,min,max,distribution,perc_missing,perc_erroneous,erroneous,cut_off
CKINCOM_2/3,not found,not found,,not found,not found,not found,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/CINCOME3.png,100.0,0.0,,
CKINCOM_2/2,not found,not found,,"1.0,3.0",1,3,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/CINCOME2.png,99.51171875,0.0,,
Q1421_2,categorical,Suffered such effects from excessive drinking or stopping drinking.,"no,yes,no answer,not applicable ","0.0,1.0",0,1,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q1421.png,99.4140625,0.0,,3
Q1431_2,categorical,Needs a drink,"no,yes,no answer,not applicable ","0.0,1.0",0,1,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q1431.png,99.4140625,0.0,,3
Q1281_2,categorical,The visions were made at a time when the participant was fully awake,"no,yes,no answer,not applicable ","0.0,1.0,8.0",0,8,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q1281.png,99.12109375,0.1848428835489834,8,3
Q1291_2,categorical,He/she thought it was real,"no,yes,no answer,not applicable ","0.0,1.0,8.0",0,8,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q1291.png,99.12109375,0.1848428835489834,8,3
CKINCOM_2/7,not found,not found,,1.0,1,1,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/CINCOME7.png,99.0234375,0.0,,
Q1001_2,ordinal,"The elderly believes that people are trying to make him/her angry, frustrated or exploit him/her.","no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q1001.png,98.6328125,0.1848428835489834,9,4
Q1002_2,ordinal,The elderly believes that people are trying to cause him serious physical harm or to kill him/her.,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q1002.png,98.6328125,0.1848428835489834,9,4
Q1012_2,categorical,"The elderly claims to be an ordinary person, known (celebraty) or unknown (not)","no,yes,no answer,not applicable ","0.0,1.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q1012.png,98.6328125,0.3696857670979667,9,3
Q1011_2,categorical,"The elderly claims to be an official person or belonging to an organization (police, MI, KGB5 etc.)","no,yes,no answer,not applicable ","0.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q1011.png,98.6328125,0.3696857670979667,9,3
Q1412_2,ordinal,Indicates that he/ she usually drinks alcohol for continuous periods every day (more than 3 hours),"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0",0,1,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q1412.png,98.4375,0.0,,4
Q1411_2,ordinal,Indicates that he/ she drinks alcohol on 4 occasions or more during separate times of the day,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0",0,1,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q1411.png,98.33984375,0.0,,4
Q1401_2,ordinal,"Says that when alone, he/she drinks three or more alcoholic beverages sequentially (one after the other)","no,yes simple,yes severe,no answer,not applicable ","0.0,1.0",0,1,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q1401.png,98.14453125,0.0,,4
CKINCOM_2/8,not found,not found,,1.0,1,1,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/CINCOME8.png,98.046875,0.0,,
Q922_2,categorical,Elderly considers it true,"no,yes,no answer,not applicable ","0.0,1.0,8.0",0,8,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q922.png,97.75390625,0.1848428835489834,8,3
Q921_2,categorical,It may not be true,"no,yes,no answer,not applicable ","0.0,1.0,8.0",0,8,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q921.png,97.75390625,0.1848428835489834,8,3
Q923_2,categorical,Elderly is convinced that it is true,"no,yes,no answer,not applicable ","0.0,1.0,8.0",0,8,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q923.png,97.75390625,0.1848428835489834,8,3
Q322_2,categorical,refused to be suicidal but wished for death because of feeling burdened by life,"no,yes,no answer,not applicable ","0.0,1.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q322.png,97.55859375,0.1848428835489834,9,3
Q321_2,categorical,did attempt suicide ,"no,yes,no answer,not applicable ","0.0,1.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q321.png,97.55859375,0.1848428835489834,9,3
Q312_2,ordinal,during the last year,"never,sometimes,no answer,not applicable ","0.0,1.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q312.png,97.36328125,0.1848428835489834,9,3
Q313_2,ordinal,felt like wanting to die for at least 2 weeks in the past month,"never,sometimes,no answer,not applicable ","0.0,1.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q313.png,97.36328125,0.1848428835489834,9,3
CKINCOM_2/1,not found,not found,,1.0,1,1,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/CINCOME1.png,97.265625,0.0,,
CKINCOM_2/5,not found,not found,,1.0,1,1,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/CINCOME5.png,96.875,0.0,,
Q471_2,ordinal,the elderly says that he/she had (or maybe had) a brain stroke in the past,"no,the interviewer believes it is possible but not for sure,the itnerviewer believes it is for sure,no answer,not applicable ","0.0,1.0,2.0",0,2,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q471.png,96.6796875,0.0,,4
Q1021_2,categorical,It is unlikely to be true but possible,"no,yes,no answer,not applicable ","0.0,1.0,8.0",0,8,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q1021.png,96.484375,0.1848428835489834,8,3
