COLUMN,data_type,frequencies,perc_missing,cut_off,description,erroneous,perc_erroneous,%_outliers,outlier_vals,scaled_%_outliers,scaled_outlier_vals
CKINCOM_2/3,not found,Counter(),100.0,,,,0.0,0.0,,0.0,
CKINCOM_2/2,not found,"Counter({1.0: 4, 3.0: 1})",99.51171875,,,,0.0,0.0,,0.0,
Q1421_2,categorical,"Counter({0.0: 4, 1.0: 2})",99.4140625,3.0,Suffered such effects from excessive drinking or stopping drinking.,,0.0,0.0,,0.0,
Q1431_2,categorical,"Counter({0.0: 4, 1.0: 2})",99.4140625,3.0,Needs a drink,,0.0,0.0,,0.0,
Q1291_2,categorical,"Counter({0.0: 5, 1.0: 3, 8.0: 1})",99.12109375,3.0,He/she thought it was real,8,0.18484288354898332,0.0,,0.0,
Q1281_2,categorical,"Counter({0.0: 4, 1.0: 4, 8.0: 1})",99.12109375,3.0,The visions were made at a time when the participant was fully awake,8,0.18484288354898332,0.0,,0.0,
CKINCOM_2/7,not found,Counter({1.0: 10}),99.0234375,,,,0.0,0.0,,0.0,
Q1012_2,categorical,"Counter({1.0: 7, 0.0: 5, 9.0: 2})",98.6328125,3.0,"The elderly claims to be an ordinary person, known (celebraty) or unknown (not)",9,0.3696857670979667,0.0,,0.0,
Q1001_2,ordinal,"Counter({0.0: 8, 1.0: 4, 2.0: 1, 9.0: 1})",98.6328125,4.0,"The elderly believes that people are trying to make him/her angry, frustrated or exploit him/her.",9,0.18484288354898332,0.09765625,9.0,0.09765625,9.0
Q1002_2,ordinal,"Counter({0.0: 11, 2.0: 1, 9.0: 1, 1.0: 1})",98.6328125,4.0,The elderly believes that people are trying to cause him serious physical harm or to kill him/her.,9,0.18484288354898332,0.09765625,9.0,0.09765625,9.0
Q1011_2,categorical,"Counter({0.0: 12, 9.0: 2})",98.6328125,3.0,"The elderly claims to be an official person or belonging to an organization (police, MI, KGB5 etc.)",9,0.3696857670979667,0.0,,0.0,
Q1412_2,ordinal,"Counter({0.0: 12, 1.0: 4})",98.4375,4.0,Indicates that he/ she usually drinks alcohol for continuous periods every day (more than 3 hours),,0.0,0.0,,0.0,
Q1411_2,ordinal,"Counter({0.0: 12, 1.0: 5})",98.33984375,4.0,Indicates that he/ she drinks alcohol on 4 occasions or more during separate times of the day,,0.0,0.0,,0.0,
Q1401_2,ordinal,"Counter({0.0: 16, 1.0: 3})",98.14453125,4.0,"Says that when alone, he/she drinks three or more alcoholic beverages sequentially (one after the other)",,0.0,0.0,,0.0,
CKINCOM_2/8,not found,Counter({1.0: 20}),98.046875,,,,0.0,0.0,,0.0,
Q923_2,categorical,"Counter({1.0: 13, 0.0: 9, 8.0: 1})",97.75390625,3.0,Elderly is convinced that it is true,8,0.18484288354898332,0.09765625,8.0,0.09765625,8.0
Q922_2,categorical,"Counter({0.0: 12, 1.0: 10, 8.0: 1})",97.75390625,3.0,Elderly considers it true,8,0.18484288354898332,0.09765625,8.0,0.09765625,8.0
Q921_2,categorical,"Counter({0.0: 17, 1.0: 5, 8.0: 1})",97.75390625,3.0,It may not be true,8,0.18484288354898332,0.09765625,8.0,0.09765625,8.0
Q321_2,categorical,"Counter({0.0: 23, 1.0: 1, 9.0: 1})",97.55859375,3.0,did attempt suicide ,9,0.18484288354898332,0.09765625,9.0,0.09765625,9.0
Q322_2,categorical,"Counter({0.0: 13, 1.0: 11, 9.0: 1})",97.55859375,3.0,refused to be suicidal but wished for death because of feeling burdened by life,9,0.18484288354898332,0.09765625,9.0,0.09765625,9.0
Q312_2,ordinal,"Counter({1.0: 21, 0.0: 5, 9.0: 1})",97.36328125,3.0,during the last year,9,0.18484288354898332,0.09765625,9.0,0.09765625,9.0
Q313_2,ordinal,"Counter({0.0: 14, 1.0: 12, 9.0: 1})",97.36328125,3.0,felt like wanting to die for at least 2 weeks in the past month,9,0.18484288354898332,0.09765625,9.0,0.09765625,9.0
CKINCOM_2/1,not found,Counter({1.0: 28}),97.265625,,,,0.0,0.0,,0.0,
CKINCOM_2/5,not found,Counter({1.0: 32}),96.875,,,,0.0,0.0,,0.0,
Q471_2,ordinal,"Counter({0.0: 14, 1.0: 13, 2.0: 7})",96.6796875,4.0,the elderly says that he/she had (or maybe had) a brain stroke in the past,,0.0,0.0,,0.0,
Q1021_2,categorical,"Counter({0.0: 29, 1.0: 6, 8.0: 1})",96.484375,3.0,It is unlikely to be true but possible,8,0.18484288354898332,0.09765625,8.0,0.09765625,8.0
Q1302_2,ordinal,"Counter({0.0: 32, 2.0: 2, 1.0: 2, 8.0: 1})",96.38671875,4.0,Feels with discontent that he/she does not deserve these experiences,8,0.18484288354898332,0.09765625,8.0,0.09765625,8.0
Q1303_2,categorical,"Counter({0.0: 35, 2.0: 1, 8.0: 1})",96.38671875,4.0,"Feel that the experiences are a worthy punishment.

",8,0.18484288354898332,0.09765625,8.0,0.09765625,8.0
Q1304_2,ordinal,"Counter({0.0: 35, 1.0: 1, 8.0: 1})",96.38671875,4.0,The interviewer seems indifferent or does not speak much about emotional reactions.,8,0.18484288354898332,0.09765625,8.0,0.09765625,8.0
Q1301_2,ordinal,"Counter({0.0: 31, 1.0: 4, 2.0: 1, 8.0: 1})",96.38671875,4.0,Marked effective response,8,0.18484288354898332,0.09765625,8.0,0.09765625,8.0
Q1022_2,categorical,"Counter({0.0: 34, 1.0: 3})",96.38671875,3.0,"Mysterious, or almost certainly not true.",,0.0,0.29296875,1.0,0.29296875,1.0
Q981_2,ordinal,"Counter({0.0: 33, 1.0: 4, 9.0: 1})",96.2890625,4.0,Elderly says he/she has a strong feeling about it,9,0.18484288354898332,0.09765625,9.0,0.09765625,9.0
Q311_2,ordinal,"Counter({0.0: 19, 1.0: 18, 9.0: 1})",96.2890625,3.0,during the last month,9,0.18484288354898332,0.09765625,9.0,0.09765625,9.0
Q1307_2,categorical,"Counter({0.0: 36, 1.0: 1, 8.0: 1})",96.2890625,3.0,Have there been hallucinations for a period of up to two weeks in the absence of clear symptoms of mood changes (ie before the appearance of symptoms or after they are gone),8,0.18484288354898332,0.09765625,8.0,0.09765625,8.0
Q991_2,ordinal,"Counter({0.0: 23, 1.0: 10, 2.0: 3, 9.0: 2})",96.2890625,5.0,"Do you think you could be mistaken?
Elderly does not believe he/she is mistaken",9,0.3696857670979667,0.1953125,9.0,0.1953125,9.0
Q1305_2,ordinal,"Counter({0.0: 34, 1.0: 3, 8.0: 1})",96.2890625,4.0,"The content of delirium and / or hallucinations is annoying or oppressive, but does not provoke dissatisfaction thus it is compatible with depression.
",8,0.18484288354898332,0.09765625,8.0,0.09765625,8.0
Q982_2,ordinal,"Counter({0.0: 35, 1.0: 2, 9.0: 1})",96.2890625,4.0,Elderly says he/she deserves persecution.,9,0.18484288354898332,0.09765625,9.0,0.09765625,9.0
Q1306_2,ordinal,"Counter({0.0: 36, 1.0: 1, 8.0: 1})",96.2890625,4.0,"The content of delirium and / or hallucinations is fun, appreciative or great, and therefore fits in with the joyful mood.",8,0.18484288354898332,0.09765625,8.0,0.09765625,8.0
Q971_2,ordinal,"Counter({0.0: 30, 1.0: 6, 8.0: 1, 9.0: 1})",96.2890625,4.0,The elderly believes in an unrealistic way that people deliberately attempt to annoy or hurt him/her,"8,9",0.3696857670979667,0.1953125,8.0 9.0,0.1953125,8.0 9.0
Q961_2,ordinal,"Counter({0.0: 28, 1.0: 10, 2.0: 1, 9.0: 1})",96.09375,4.0,The elderly believes it is true,9,0.18484288354898332,0.09765625,9.0,0.09765625,9.0
Q952_2,categorical,"Counter({0.0: 27, 1.0: 12, 9.0: 1})",96.09375,3.0,"Elderly says ""it is their fault"", and the interviewer has no doubts.",9,0.18484288354898332,0.09765625,9.0,0.09765625,9.0
Q951_2,categorical,"Counter({1.0: 20, 0.0: 19, 9.0: 1})",96.09375,3.0,"Elderly says ""it is their fault"", but the interviewer has doubts.",9,0.18484288354898332,0.09765625,9.0,0.09765625,9.0
NOCTURN,categorical,"Counter({0.0: 40, 1.0: 2})",95.8984375,1.0,Is loss or delirium worse at night or dusk?,,0.0,0.1953125,1.0,0.1953125,1.0
Q1582_2,ordinal,"Counter({0.0: 37, 1.0: 4, 8.0: 2})",95.80078125,4.0,The eyes are wet: filled with tears or crying,8,0.3696857670979667,0.1953125,8.0,0.1953125,8.0
Q1581_2,ordinal,"Counter({0.0: 38, 1.0: 5, 2.0: 1})",95.703125,4.0,It seems by looking at/ listening to the participant that he/she is sad or depressed,,0.0,0.09765625,2.0,0.09765625,2.0
Q1621_2,ordinal,"Counter({0.0: 39, 1.0: 3, 2.0: 2})",95.703125,4.0,Focus: obvious difficulties in listening to the interview.,,0.0,0.1953125,2.0,0.1953125,2.0
Q1611_2,ordinal,"Counter({0.0: 41, 2.0: 3})",95.703125,4.0,Social disturbance: It seems by looking at / listening to the participant that he/she is skeptical for no real reason,,0.0,0.29296875,2.0,0.29296875,2.0
Q1602_2,ordinal,"Counter({0.0: 35, 1.0: 8, 2.0: 1})",95.703125,4.0,Difficulties in thinking: participant seems hesitant,,0.0,0.09765625,2.0,0.09765625,2.0
Q1601_2,ordinal,"Counter({0.0: 36, 1.0: 7, 2.0: 1})",95.703125,4.0,Difficulties in thinking: participant seems confused,,0.0,0.09765625,2.0,0.09765625,2.0
Q1591_2,ordinal,"Counter({0.0: 35, 1.0: 7, 2.0: 2})",95.703125,4.0,Slow: Very slow in all movements,,0.0,0.1953125,2.0,0.1953125,2.0
NPIMED,categorical,"Counter({0.0: 53, 1.0: 12, 98.0: 2})",93.45703125,2.0,Did the doctor or specialist prescribe any medication?,98,0.3696857670979667,0.1953125,98.0,0.1953125,98.0
NPIADV,categorical,"Counter({0.0: 52, 1.0: 12, 98.0: 3})",93.45703125,2.0,Did the doctor or specialist give any advice?,98,0.5545286506469501,0.29296875,98.0,0.29296875,98.0
Q1151_2,ordinal,"Counter({1.0: 62, 0.0: 22, 2.0: 11, 8.0: 2, 9.0: 1})",90.4296875,4.0,Gradually declining interests / enjoyment over the years.,"8,9",0.5545286506469501,0.29296875,8.0 9.0,0.29296875,8.0 9.0
Q1152_2,categorical,"Counter({1.0: 54, 0.0: 40, 8.0: 2, 9.0: 2})",90.4296875,3.0,The decline in interests / enjoyment  has occurred over the past three months.,"8,9",0.7393715341959335,0.390625,8.0 9.0,0.390625,8.0 9.0
Q1153_2,ordinal,"Counter({1.0: 44, 0.0: 39, 2.0: 11, 8.0: 2, 9.0: 2})",90.4296875,4.0,Lose interest or enjoyment most days for at least two weeks last month.,"8,9",0.7393715341959335,0.390625,8.0 9.0,0.390625,8.0 9.0
Q1161_2,categorical,"Counter({0.0: 58, 1.0: 39, 9.0: 1, 8.0: 1})",90.33203125,3.0,Depressed and very tense.,"8,9",0.3696857670979667,0.1953125,8.0 9.0,0.1953125,8.0 9.0
Q522_2,categorical,"Counter({0.0: 71, 1.0: 34, 8.0: 4})",89.35546875,3.0,Anorexia has been present for most days for at least two weeks last month.,8,0.7393715341959335,0.390625,8.0,0.390625,8.0
Q521_2,categorical,"Counter({0.0: 56, 1.0: 50, 8.0: 3})",89.35546875,3.0,weak appetite in the absence of any known health condition and without nausea ,8,0.5545286506469501,0.29296875,8.0,0.29296875,8.0
Q523_2,categorical,"Counter({0.0: 88, 1.0: 19, 8.0: 4})",89.16015625,3.0,An increase in appetite for most days for at least two weeks last month.,8,0.7393715341959335,0.390625,8.0,0.390625,8.0
Q571_2,categorical,"Counter({1.0: 95, 0.0: 60})",84.86328125,3.0,Elderly wakes up about two or more hours before his/her usual waking time and can not go back to sleep most of the nights (this lasted for at least two weeks last month).,,0.0,0.0,,0.0,
Q582_2,categorical,"Counter({0.0: 103, 1.0: 52})",84.86328125,3.0,"Mainly due to or arising from a physical cause in the body, or noise, etc. ",,0.0,0.0,,0.0,
Q581_2,categorical,"Counter({1.0: 93, 0.0: 60, 9.0: 1, 8.0: 1})",84.86328125,3.0,"Difficulty is due to altered moods or thoughts, or tension (e.g. lies awake with depressed or anxious feelings or thoughts).","8,9",0.3696857670979667,0.1953125,8.0 9.0,0.1953125,8.0 9.0
CKINCOM_2/4,not found,Counter({1.0: 172}),83.203125,,,,0.0,0.0,,0.0,
Q54_2,categorical,"Counter({9.0: 71, 0.0: 62, 1.0: 37, 8.0: 2})",83.203125,3.0,the difference is more than 3 years,"8,9",13.493530499075785,0.0,,0.0,
Q53_2,categorical,"Counter({9.0: 71, 0.0: 69, 1.0: 29, 8.0: 3})",83.203125,3.0,the difference is between 2 to 3 years ,"8,9",13.67837338262477,0.0,,0.0,
Q51_2,categorical,"Counter({1.0: 106, 0.0: 64, 9.0: 2, 8.0: 1})",83.10546875,3.0,the participant shows clear hesitation when indicating age and year of birth,"8,9",0.5545286506469501,0.29296875,8.0 9.0,0.29296875,8.0 9.0
Q52_2,categorical,"Counter({1.0: 66, 0.0: 54, 9.0: 52, 8.0: 1})",83.10546875,3.0,contradiction between year of birth and age provided by participant and not corrected (disregard if one year difference only),"8,9",9.796672828096119,0.0,,0.0,
Q366_2,boolean,"Counter({0.0: 162, 1.0: 22})",82.03125,,did you visit a doctor or specialist to treat the problem,,0.0,0.0,,0.0,
Q544_2,ordinal,"Counter({1.0: 107, 0.0: 53, 2.0: 24})",82.03125,4.0,Has been suffering from a noticeable concern for most nights for at least two weeks during the past month.,,0.0,0.0,,0.0,
Q551_2,categorical,"Counter({0.0: 96, 1.0: 88, 9.0: 1})",81.93359375,3.0,"Difficulty in falling asleep.  If tablets taken, rate what interviewee feels would have happened without them.",9,0.18484288354898332,0.09765625,9.0,0.09765625,9.0
Q561_2,ordinal,"Counter({1.0: 131, 0.0: 32, 2.0: 22})",81.93359375,4.0,"Sleep interrupted during the night.  (Include waking up after an initial cat nap and not being able to sleep again for some lengthy time).  
If tablets taken rate what interviewee feels would have happened without them.",,0.0,0.0,,0.0,
Q545_2,ordinal,"Counter({0.0: 180, 2.0: 3, 1.0: 2})",81.93359375,4.0,"Over the last few nights, there has been a noticeable increase in sleep over the last two weeks",,0.0,0.48828125,1.0 2.0,0.48828125,1.0 2.0
Q543_2,ordinal,"Counter({0.0: 130, 1.0: 37, 2.0: 19})",81.8359375,4.0,Elderly suffers from anxiety for most of the night and often sleeps during the day.,,0.0,0.0,,0.0,
Q542_2,ordinal,"Counter({1.0: 86, 0.0: 79, 2.0: 21})",81.8359375,4.0,"Sleeping problem (insomnia) or discontinued sleeping, or intake of medication or alcohol to help getting asleep.",,0.0,0.0,,0.0,
CONFNITE,boolean,"Counter({0.0: 207, 1.0: 2})",79.58984375,,Does the elderly get confused during the night? Does he/she wander? speaks incomprehensible words?,,0.0,0.1953125,1.0,0.1953125,1.0
CONFDAY,boolean,"Counter({0.0: 206, 1.0: 3})",79.58984375,,Does it happen during the day?,,0.0,0.29296875,1.0,0.29296875,1.0
CLOUDING,boolean,"Counter({0.0: 200, 1.0: 8, 99.0: 1})",79.58984375,,Are there periods of more than 24 hours when the elderly is being alert at times and strayed at another times?,,0.0,0.09765625,99.0,0.09765625,99.0
Q881_2,categorical,"Counter({0.0: 138, 1.0: 74, 8.0: 3})",79.00390625,3.0,elderly feels loneliness and can not escape it.,8,0.5545286506469501,0.29296875,8.0,0.29296875,8.0
Q882_2,categorical,"Counter({0.0: 122, 1.0: 91, 8.0: 2})",79.00390625,3.0,Bothered or depressed by current loneliness.,8,0.3696857670979667,0.1953125,8.0,0.1953125,8.0
Q891_2,categorical,"Counter({0.0: 123, 1.0: 85, 8.0: 7})",79.00390625,3.0,Worried about living alone in the future,8,1.2939001848428835,0.68359375,8.0,0.68359375,8.0
CKINCOM_2/6,not found,Counter({1.0: 232}),77.34375,,,,0.0,0.0,,0.0,
