feature,MI
HOBBY_2,0.0
Q1651_2,0.0
IRHOME_2,0.0
Q1755_2,0.0
Q1704_2,0.0
Q1661_2,0.0
Q1671_2,0.0
Q1752_2,0.0
Q501_2,0.0
WATCH_2,0.0
Q1052_2,0.0
Q17912_2,0.0
Q511_2,0.0
Q1362_2,0.0
Q612_2,0.0
Q17922_2,0.0
Q1241_2,0.0
Q643_2,0.0
Q1231_2,0.0
Q1131_2,0.0
Q533_2,0.0
Q502_2,0.0
Q1796_2,0.0
Q1364_2,0.0
Q17920_2,0.0
Q1791_2,0.0
Q1805_2,0.0
Q1807_2,0.0
Q17911_2,0.0
Q18015_2,0.0
ICINTCOM_2,0.0
Q1795_2,0.0
Q18018_2,0.0
Q1806_2,0.0
Q18012_2,0.0
Q1808_2,0.0
Q1792_2,0.0
Q18013_2,0.0
Q18011_2,0.0
Q1441_2,0.0
Q1809_2,0.0
Q1365_2,0.0
Q532_2,0.0
Q1363_2,0.0
Q901_2,0.0
Q18019_2,0.0
Q1201_2,0.0
Q1708_2,0.0
Q1707_2,0.0
Q1391_2,0.0
Q1043_2,0.0
Q1251_2,0.0
Q911_2,0.0
Q101_2,0.0
Q1709_2,0.0
Q512_2,0.0
PENCIL_2,0.0
Q102_2,0.0
Q642_2,0.0
Q1031_2,0.0
Q1042_2,0.0
Q1632_2,0.00033290500440363857
Q201_2,0.0006957653661372465
Q1221_2,0.0008873767572932234
Q294_2,0.001080425244025518
Q1652_2,0.001158069831070918
Q1211_2,0.001369637970244586
Q1232_2,0.0016570915659217533
Q1367_2,0.0017118804294902201
Q1141_2,0.0018136142278837308
Q613_2,0.0018328741839674922
Q1371_2,0.0029057288782436963
Q17910_2,0.002934487620024573
Q1361_2,0.0034130411066291
Q1271_2,0.003580130973868334
Q1044_2,0.0038994076745930695
Q281_2,0.004159847619313428
Q611_2,0.00429691596578996
Chin_2,0.00439366890060966
Q291_2,0.004524044272093741
Q1803_2,0.0046636774247041934
Q1703_2,0.005098457213099428
Q1381_2,0.005348269579898535
Q1745_2,0.005529732256856379
Q1351_2,0.005617059856740436
Q1744_2,0.005872145001734053
Q1182_2,0.006444230406304596
Q452_2,0.006658133095522878
Q18020_2,0.006664547082353867
Q1171_2,0.006925522338267154
ADDRESS_2,0.0070792742168015454
Q1368_2,0.007288507363149677
