COLUMN,data_type,theme,description,frequencies,perc_missing,erroneous,perc_erroneous,cut_off,outliers_zscore,outliers_iqr
HASCONF_2,ordinal,Introduction,overall rating of confidence in data,", 0.0: 0.5966796875%%, 3.0: 0.0029296875%%, 2.0: 0.015625%%, 1.0: 0.0302734375%%, 4.0: 0.0009765625%%",35.3515625,,0.0,4.0,1.953125,1.953125
Q82_2,categorical,Participant GMS,the participant says/points our that he/she doesn't know,", 0.0: 0.673828125%%, 8.0: 0.0009765625%%, 9.0: 0.0029296875%%, 1.0: 0.0087890625%%",31.34765625,"8,9",0.7393715341959335,3.0,,
Q83_2,categorical,Participant GMS,"incomplete, irrelevant, or no answer",", 1.0: 0.0126953125%%, 0.0: 0.66796875%%, 8.0: 0.0029296875%%, 9.0: 0.0029296875%%",31.34765625,"8,9",1.1090573012939002,3.0,,
Q81_2,categorical,Participant GMS,participant gave the wrong or incomplete address,", 1.0: 0.0185546875%%, 0.0: 0.6650390625%%, 8.0: 0.001953125%%, 9.0: 0.0009765625%%",31.34765625,"8,9",0.5545286506469501,3.0,,
ENDIF_2,boolean,Introduction,interviewer code - is the total csid score 2 or less?            ,", 0.0: 0.2412109375%%, 1.0: 0.458984375%%",29.98046875,,0.0,,,
NPI12,categorical,Introduction,"Has your (xxxx) lost or gained weight, or had a change in the food he she likes? ",", 0.0: 0.67578125%%, 1.0: 0.02734375%%, 98.0: 0.0029296875%%",29.39453125,98,0.5545286506469501,2.0,,
NPI2,categorical,Introduction,Does your (xxxx) act as if he or she hears voices? Does he or she talk to people who are not there?,", 0.0: 0.70703125%%, 1.0: 0.0029296875%%, 98.0: 0.0029296875%%",28.7109375,98,0.5545286506469501,2.0,,
NPI1,categorical,Introduction,"Does your (xxxx) believe that others are stealing from him or her, or planning to harm him or her in some way?",", 0.0: 0.7060546875%%, 1.0: 0.0048828125%%, 98.0: 0.001953125%%",28.7109375,98,0.3696857670979667,2.0,,
NPI3,categorical,Introduction,Is your (xxxx) stubborn and resistive to help from others?,", 0.0: 0.697265625%%, 1.0: 0.0146484375%%, 98.0: 0.0009765625%%",28.7109375,98,0.18484288354898332,2.0,,
NPI5,categorical,Introduction,"Does your (xxxx) become upset when separated from you? Does he or she have any other signs of nervousness, such as shortness of breath, sighing, being unable to relax, or feeling excessively tense?",", 0.0: 0.693359375%%, 1.0: 0.015625%%, 98.0: 0.00390625%%",28.7109375,98,0.7393715341959335,2.0,,
NPI7,categorical,Introduction,Does your (xxxx) seem less interested in his or her usual activities and plans of others?,", 0.0: 0.6669921875%%, 1.0: 0.044921875%%, 98.0: 0.001953125%%",28.61328125,98,0.3696857670979667,2.0,,
NPI8,categorical,Introduction,"Does your (xxxx) seem to act impulsively? For example, does your (xxxx) talk to strangers as if he or she knows them, or does your (xxxx) say things that may hurt people’s feeling?",", 0.0: 0.69921875%%, 98.0: 0.001953125%%, 1.0: 0.0126953125%%",28.61328125,98,0.3696857670979667,2.0,,
NPI9,categorical,Introduction,Is your (xxxx) impatient and cranky? Does he or she have difficulty coping with delays or waiting for planned activities?,", 0.0: 0.6962890625%%, 98.0: 0.001953125%%, 1.0: 0.015625%%",28.61328125,98,0.3696857670979667,2.0,,
NPI11,categorical,Introduction,"Does your (xxxx) awaken you during the night, rise too early in the morning, or take excessive naps during the day?",", 0.0: 0.701171875%%, 1.0: 0.0107421875%%, 98.0: 0.001953125%%",28.61328125,98,0.3696857670979667,2.0,,
NPI6,categorical,Introduction,Does your (xxxx) appear to feel too good or act excessively happy?,", 0.0: 0.70703125%%, 1.0: 0.005859375%%, 98.0: 0.0009765625%%",28.61328125,98,0.18484288354898332,2.0,,
NPI10,categorical,Introduction,"Does your (xxxx) engage in repetitive activities, such as pacing around the house, handling buttons, wrapping string, or doing other things repeatedly?",", 0.0: 0.708984375%%, 98.0: 0.0029296875%%, 1.0: 0.001953125%%",28.61328125,98,0.5545286506469501,2.0,,
NPI4,categorical,Introduction,Does your (xxxx) act as if he or she is sad or in low spirits? Does he or she cry?,", 0.0: 0.6728515625%%, 1.0: 0.037109375%%, 98.0: 0.00390625%%",28.61328125,98,0.7393715341959335,2.0,,
CARENEED_2,ordinal,Introduction,The older person,", 2.0: 0.09765625%%, 3.0: 0.5732421875%%, 1.0: 0.04296875%%",28.61328125,,0.0,2.0,4.296875,4.296875
Q1551_2,ordinal,Participant GMS,"Taking everything into account, how would you describe your satisfaction with life at the present time: good, average, or weak?",", 0.0: 0.21484375%%, 1.0: 0.4462890625%%, 2.0: 0.0576171875%%, 8.0: 0.0068359375%%",27.44140625,8,1.2939001848428835,4.0,0.68359375,0.68359375
Q1561_2,ordinal,Participant GMS,"In general, how happy are you: very happy, reasonably happy, not too happy, not happy at all?",", 1.0: 0.5419921875%%, 0.0: 0.083984375%%, 2.0: 0.064453125%%, 3.0: 0.033203125%%, 8.0: 0.001953125%%",27.44140625,8,0.3696857670979667,5.0,0.1953125,0.1953125
